AI_number,SW_Permit,County,LF_names,LAT,LONG_,Stage_1_Ra,Closed,Consultant,Deed_Notic,Terminatio,CONSTR_or,Contract_o,Haz_disp,Consulta_1,Address,Name_2,Name3,Permit_Sta,Operator_T,Property_O,BEGIN_DATE,END_DATE,Checked,Used_AC,Perm_AC,Field_Note,SW_Permit_,SW_Permit1,Name_4,Name_5
74216,004-00003,Ballard,Ingleside & Kevil dumps,37.10994444,-88.89844444, , ,URS, , , ,S1W1, , ,"Woodvile Road, Kevil, KY", , ,No Record,Private,Private,60,66,Y,3-Jan, ,"small, in front yard of house, no problems noted",,,,
67,005-00008,Barren,Eaton (Dana) RLF,37.00721389,-85.940375, , , , , , ,adequately cleaned up, , ,"1320 W Main St, Glasgow, KY",Dana Commerical Manufacturing LLC,Dana Corp Residual Landfill,Terminated,Private,Private,0,0,Y, , ,Ownership transferred from Eaton Coroporation to Dana Corporation 1998. spill into sand backfill of closed underground tank.  Bound to sand and isolated from environment,,,,
74,005-0001,Barren,Glasglow Regional Landfill,36.98547222,-85.95622222, ,N, , , , , , , , ,City of Glasglow Landfill, , , , ,0,0,Y, , , ,,,,
0,005-00001R,Barren,Old Glaslow LF,37.1463,-85.93825, , , , , , , , , , , , , , , ,0,0,Y, , , ,,,,
71302,006-00001,Bath,Bath County Dump,38.08541667,-83.67213889,47, ,TT, , , ,30E, , ,"Elk Lick Road, Owingsville, KY",Elk Lick Road Dump, ,No Record,Government,Leased,67,0,Y, , , ,,,,
71304,007-00003,Bell,Bell County Garbage & Refuse Disposal,36.63136111,-83.70291667,56, ,TT, , , ,30E, , ,"US 25 E, Middlesboro, KY",Bell Co G&RD - Cumberland Ave LF, ,DEP Other,Government,Leased,72,78,Y, , , ,,,,
71303,007-00001,Bell,Happy Hollow Landfill,36.6251,-83.70144444,23,Y,TT,Y,Y,CONSTR,HB 174 work completed, , ,"Happy Hollow Road, Middlesboro, KY","Middlesboro City Dump, Middlesboro, KY", ,Terminated,Government,Leased,62,74,Y, , , ,,,,
75527,007-00002,Bell,Pineville Site,36.8309,-83.686, , , , , , ,S1E5, , ,"Fourmile Creek Rd, Pineville, KY",Pineville City Dump, ,Pre-permit,Government,Leased,52,65,Y, , , ,,,,
0,007-A0001,Bell,Bell County (A01) Site,36.61666667,-83.7, , , , , , , , , , , , , , , ,0,0,Y, , ,Old LF overgrown with trees,,,,
151,008-00018,Boone,Belleview CDD Landfill,0,0, , , , , , ,S1E1, , ,"5275 Belleview Road, Petersburg, KY",Belleview Sand and Gravel Inc., , , , ,0,0,Y, , ,CDD LF closed 2018. See ARM,,,,
275,008-00001,Boone,Northern Kentucky Sanitation Company,38.86122222,-84.6662, , , , , , ,HB 174 work completed,"Unknown industrial liquids deposited in unlined ponds on trash from 1965 until at least 1973.  1973 EPA Order for accepting and spilling liquid waste resulted from major fish kill between Mud Lick Creek and the Ohio River    Arsenic, Barium, Chromium, Be", ,"12764 McCoy Fork Road, Walton, KY",Bavarian Trucking Co. Inc.,Veinna Woods LF,Active,Private,Private,0,0,Y, , ,Merle Wasson and Robert Stidham have been regular inspectors at the site.,,,,
44393, ,Boone,East KY Power Corp - Bavarian Landfill,0,0, , , , , , ,Referred by SF, , ,"12760 McCoy Fork Road, Walton, KY", , , , , ,0,0,,,,,,,,
51768,008-00002,Boone,Spurlock Dump,38.9809,-84.7966, , , , , , ,S1E1, , ,"4962 Waterloo Road, Burlington, KY", , , ,Private,Private,52,67, , , , ,,,,
176,008-00005,Boone,CG&E - East Bend Station LF ,38.90833333,-84.84027778, , , , , , , , , ,"6293 Beaver Road, Union, KY", , , , , ,0,0,Y, , ,Reported location only,,,,
275,008-00003,Boone,Bureau of Solid Waste Management ,38.85794444,-84.66463889,,,,,,,,,,,,,DEP Other,Government,Leased,,,,,,Owned and operated by Bavarian Trucking ,,,,
71305,009-00004,Bourbon,Millersburg City Dump,38.29955556,-84.15219444,46, ,TT, , , ,30E, , ,"W 2nd St, Millersburg, KY", , , ,Government,Government,0,72,Y, , ,Exposed waste and burn ash. Waste to edge of creek,,,,
43736,009-00006,Bourbon,City of Paris Dump,38.21638889,-84.26019444,37, ,TT, , , ,30E, , ,"800 Pleasant St, Paris, KY",Paris Incinerator,City of Paris Landfill,Terminated,Government,Government,55,89,Y, , ,"Thick vegetation, inactive in 1989, also permit 9.06, local info",,,,
57003,009-00001,Bourbon,Bourbon Co. Road Dept Dump (Does not qualify for HB 174),38.2203,-84.26530556, ,Y,DWM,N/A,N/A,NFA,S1E3, , ,"135 E Main, Paris, KY", , ,No Record,Government,Government,0,0,Y, , , ,,,,
75613,009-00005,Bourbon,North Middletown City Dump,38.14727778,-84.11794444, , , , , , ,S1E3, , ,"US 460, North Middletown, KY", , ,No Record, , ,0,0, , , ,"Some exposed metals, no other indication of buried dump.",,,,
51910,010-A0001,Boyd,Ashland City Dump,38.4658,-82.6139, , , , , , ,S1E6, , , , , ,No Record,Not Known,Not Determined,0,0,Y, , , ,,,,
320,010-00004,Boyd,Cooksey Brothers Landfill ,38.36830556,-82.72886111,,,,,,,,,,,Harold Cooksey ,Cooksey Brothers Disposal Company ,Inactive/built,Private,Private,71,,,39,,"NFRAP, active permitted contained landfill. ",,,,
329,010-00006,Boyd,Huntington Alloys,38.26358333,-82.57963889, , , , , , ,S1E6,Rags from plant cleaning and possible incinerator residue were disposed of in this facility., ,"29500 Mayo Trail Road, Catlettsburg, KY", , ,No Record, , ,0,0,Y, , , ,,,,
9383,010-00039,Boyd,Addington Environmental Inc.,0,0, , , , , , ,S1E6, , , , , , , , ,0,0,Y, , , ,,,,
0,010-A0003,Boyd,Johnson Fork Dump ,38.40969444,-82.64136111,,,,,,,,,,,,,No permit,Private,Private,0,65,,,,"Owned and operated by Frank Fowler, Jerry Fowler, and Proc Robinson. ",,,,
37293,010-00035,Boyd,Addington Environmental,0,0, , , , , , ,S1E6, , ,"US 60, Ashland, KY",Addington Environmental - Boyd CDD 2,Addington Environmental CDD #2,Terminated, , ,0,0,Y, , , ,,,,
43258,010-00012,Boyd,Mobile Pressure Cleaning Inc.,38.49333333,-82.66916667, , , , , , ,S1E6, , ,"806 Hoods Creek Pike, Ashland, Ky",Mobile Pressure Cleaning Landfill, ,Blue Dot,Private,Private,78,85,Y, ,11.71,"NFRAP;Ownned and operated by: Tom W. Wright, Mobile Pressure Cleaning , Inc.

file has several documents with permit # 102-00012 for the same site",,,,
43682,010-00046,Boyd,R. L. Fosson Unoermitted CDD,38.48530556,-82.67211111, , , , , , ,S1E6, , ,"Jct of Hoods Creek Road & Wheatley Road, Westwood, KY",R L Fosson Umpermitted CDD, ,Blue Dot,Private,Private,0,0,Y, , ,Additional soil is necessary on the cap and it needs erosion control.,,,,
51905,010-A0002,Boyd,Boyd County Dump,38.42194444,-82.70416667, , , , , , ,S1E6, , ,"17th St, Ashland, KY", , , , ,Government,0,0,Y, , , ,,,,
51933,010-00003,Boyd,Boyd Co. San Service Project,38.40786111,-82.61477778, , , , , , ,S1E6, , , ,Johnson Fork Dump, ,No Record, , ,0,0,Y, , ,"Poor location, not visited",,,,
75651,010-00007,Boyd,Herbert C. Ross Const. Landfill,38.39602778,-82.68088889, , , , , , ,S1E6, , ,"Petermans Marsh Hill Road, Cannonsburg, KY", , , ,Private,Private,73,84,Y, , ,"Closure in 1980s, thick vegetation",,,,
75652,010-00008,Boyd,General Concrete Company,38.48683056,-82.653, , , , , , ,S1E6, , ,"Jct of 4th & Winchester Ave, Westwood, KY", , , ,Private,Private,68,0,Y, , , ,,,,
51783,010-00002,Boyd,Catlettsburg City Dump,38.40788889,-82.61475, , , , , , , , , , ,Barbeque Road Dump, , , , ,0,0,Y, , , ,,,,
51907,010-00005,Boyd,Ashland Petroleum Landfill (Old),38.35728,-82.60933333, , , , , , , , , , ,Ashland Oil Landfill, , , , ,0,0,Y, , ,Some info in Boyd Co. general file,,,,
0,010-A0005,Boyd,ARMCO Industries Ashland Coke Plant,38.45460556,-82.609525, , , , , , , , , , , , , , , ,0,0,Y, , ,"Owned and operated by Armco Inc., Ashland works",,,,
51773,010-00041,Boyd,Louisa Land Development,38.39972222,-82.7285, , , , , , , , , , , , , , , ,0,0,Y, , ,Location based on map in 1994 soil sampling plan,,,,
322,010-A0014,Boyd,Federal Corrections - Ashland,38.43425,-82.70361111, , , , , , , , , , , , , , , ,0,0,Y, , ,"Currently being addressed by the Federal Bureau of Prisons.  The landfills has been partially capped and groundwater monitoring is continuing.  Landfill served as an institutional landfill, accepting both hazardous and non-hazardous waste streams.",,,,
0,010-A0015,Boyd,USDOE H Coal Pilot Plant,38.375,-82.63888889, , , , , , , , , , , , , , , ,0,0,Y, , , , ,,,
37295,010-00011,Boyd,AK Steel - Norton Landfill,38.47861111,-82.62916667, , , , , , , , , , , , , , , ,0,0,Y, , , ,,,,
315,010-00010,Boyd,Pittsburgh Activated Carbon Company ,38.33333333,-82.6,,,,,,,,,,,Calgon Carbon Company ,,Active ,,,0,0,,,,,,,,
316,010-00014,Boyd,Campbells Branch Landfill,38.35222222,-82.60638889, , , , , , , , , ,"11631 US 23 Ashland, KY", , ,Active, , ,0,0,Y, , , ,,,,
40319,010-00054,Boyd,Big Run Landfill,38.37083333,-82.74444444, , , , , , , , , ,"1837 River Cities Dr, Ashland, KY", , ,Active, , ,0,0,Y, , , ,,,,
34349,010-00055,Boyd,Ferco Enterprises < 1 ac. CDD,38.404,-82.73783333, , , , , , , , , ,"12495 Paul Coffey Blvd, Ashland, KY", , ,Revoked, , ,0,0,Y, , ,Obtained GPS location in center of waste area.,,,,
37348,011-00005,Boyle,Fryes Lane Dump,37.63436111,-84.77894444,53, ,KENVIRONS, ,Y, ,S1C4,EPA and Superfund reports confirm asbestos disposed of on site. Possible acceptance of paint waste from Whirlpool Corp., ,"Fryes Ln, Danville, KY",Danville-Fryes Lane Landfill, , ,Government,Post-inactivity sale,70,78,Y,12.74, ,"Owned and operated by City of Danville, property now owned privately and ownership is in dispute. 2 Waste areas, 7.44 and 5.30 acres respectively.",,,,
0,10-A0016,Boyd,Gene Jackson Dump ,38.48055556,-82.65833333,,,,,,,,,,,,,No permit,Private,Private,85,0,,,,,,,,
362,011-00002,Boyle,"Terrell Drive Dump (aka Danville Dump, City of (Old))",37.63366667,-84.7635,50, ,TT, , , ,30E,Accepted a crank oil case in the past. Buried drums contained within the floodplain were found here. Waste paint from Whirlpool corp. accepted. Memo Indicating Xylenes may be present in the dump., ,"Terrell Dr, Danville, KY",City of Danville Old Dump, , ,Government,Government,50,0,Y, , ,Owned and operated by City of Danville. At this time the site is a superfund site.,,,,
75794,011-00024,Boyle,Boyle Co. Dump - Parksville,37.57841667,-84.90075,47, ,TT, , , ,30E,Accepted brake pads that may contain asbestos, ,"Johnson Branch Rd & Chesnut Ridge Dr, Parksville, KY", , ,Reassigned,Government,Leased,66,75,Y, , ,"Owned by R.C. Feathers; operated by Boyle Co. Fiscal Court until 72, then became public dump",,,,
64626,011-00006,Boyle,Southern States,37.62861111,-84.79027778,,,,,,,,,,,City of Danville LF ,,No Record,,,0,0,,,,Nothing Visible at location ,,,,
43259,011-00009,Boyle,Danville Boyle County Landfill (Spider Corp),37.59172222,-84.83122222,38, ,KENVIRONS, , , ,S1C4, , ,"KY 300, Alum Springs, KY", , ,Terminated,Private,Private,74,87,Y,20.38, ,"Ownership transferred from Spider Corp. to Danville and Boyle Co. 1977. 4 waste areas on site. Began as private operation, became city/county.",,,,
75816, ,Boyle,Danville Development Corp,0,0,32, ,KENVIRONS, , , ,Referred by SF, , ,"N Stewarts Dr, Danville, KY", ,,,,,0,0,,,,,,,,
0,011-00007R,Boyle,City of Danville Landfill,37.61694444,-84.79639, , , , , , , , , , , , , , , ,0,0,Y, , ,City doesnt know of dump here.,,,,
380,011-00008,Boyle,Corning Glass Landfill,37.64208333,-84.78761111, , , , , , , , , , ,Corning Inc., , , , ,0,0,Y, , ,"Closed 1907s, capped",,,,
51948,011-A0005,Boyle,Douglas Lane Wire Dump,37.62194444,-84.79611111, , ,Kenvirons, ,Y, , ,Superfund branch has taken over control of the site., ,"Douglas Lane, Junction City, KY", , , ,Government,Government,0,0,Y, , ,Owned and operated by Junction City; Sam Belcher is present owner. Site is under control of Superfund branch. Not referred to closure.,,,,
40484,011-00001,Boyle,BFI-Stevens Dispos-ALL Transfer Station,37.63833333,-84.77972222, , , , , , , , , , ,BFI-Stevens Dipos-ALL LF, , , , ,0,0,Y, , , ,,,,
0,011-A0007,Boyle,Fackler Street Dump-Danville,37.63861111,-84.77138889, , , , , , , , , , , , , , , ,0,0,Y, , ,Location estimated from Google Maps by Address,,,,
78089,012-00007,Bracken,"Roadside Dump, Thompson Rd (Does not qualify for HB 174)",38.63561111,-83.98669444, ,Y,DWM,N/A,Y,NFA,S1E2, , , ,Bracken county historic roadside dump #1, ,Reassigned,Uncontrolled,Not Determined,0,0,Y, , ,Partially in a small stream, ,,,
78090,012-00008,Bracken,"Roadside Dump, McKinney Rd (Does not qualify for HB 174)",38.57797222,-84.16813889, ,Y,DWM,N/A,N/A,NFA,S1E2, , , ,Bracken County Historic Roadside Dump #2, ,Reassigned,Private,Private,0,0,Y, , ,"Site #2 appears to be an active open dump, site #1 cleaned up",012-00004R,,,
0,012-A0003,Bracken,Augusta Dump (Buchanan),38.77211111,-83.97441667, , , , , , ,S1E2, , , , , ,No Record,Not Known,Not Determined,0,0,Y, , ,Estimated location based on county map and site photos., ,,,
78088,012-00006,Bracken,City of Brooksville Landfill,38.68211111,-84.07088889, , , , , , ,S1E2, , , ,Brooksville Historic City Dump, ,Reassigned,Government,Government,0,69,Y, , ,"Confirmed by local info, currently paved/gravel lot", ,,,
0,012-A0001,Bracken,Art Taylor Dump,38.77125,-83.99166667, , , , , , , , , , ,Chamber of Commerce Dump, , , , ,0,75,Y, , ,"basically an open dump, may have been cleaned up shortly after 1973 letter. 1973 location 100 ft outside city limits on Chamber of Commerce property", ,,,
76521,012-00001R,Bracken,Bracken County Landfill,38.769711,-83.99861111, , , , , , , , , ,"Old Augusta Turnpike, Augusta, KY",Augusta City Dump, , , , ,0,0,Y, , , ,012-00005,,,
0,012-A0002,Bracken,Three-mile Augusta Dump,38.7774,-83.94275, , , , , , , , , , , , , , , ,0,73,Y, , ,"local trash & litter, local standing water", ,,,
33806,013-00008,Breathitt,Oakdale Christian High School dump (No folder on this in v: drive),37.55713889,-83.51441667, , , , , , ,S1E4, , ,"5801 Beattyville Road, Jackson, KY",Oakdale Christian Academy,Breathitt County Fiscal Court LF,Reassigned,Private,Private,0,0,Y, , ,"Not Found, no local info.",013-00002R,,,
70807,013-00009,Breathitt,Riverside Training school dump,37.4631,-83.2917, , , , , , ,S1E4, , ,"Riverside Rd, Lost Creek, KY",Riverside Christian School,Billy Joe Mayes,Reassigned,Private,Private,68,72,Y, , ,Residential Community on it,013-00003R,,,
77426,013-00001,Breathitt,Town Mountain Dump,37.54733333,-83.39777778, , , , , , ,S1E4, , ,"Hargis St, Jackson, KY",Jackson City landfill,Jackson City Dump,No Permit,Private,Leased,67,74,Y, , ,"Property of Floyd Shouse (1974), about 1 mile west of Jackson just off Highway 30. Dump over side of Town Mountain, noted in Aug 30, 1974 memo as about 200 yards wide and 100 yards downhill from road.", ,,,
71416,014-00017,Breckinridge,Raymond Bennett Site,37.78852778,-86.58511111,44, ,KENVIRONS, , , ,30W,"No operator on site regularly, waste stream accepted unknown.", ,"Hardin Mills Road, Cloverport, KY",Breckinridge Co. Sanitary Landfill,Old Breckinridge County Landfill, ,Government,Leased,71,81,Y,26.5, ,First sanitary landfill opened by Raymond Bennett in 1971.  Control transferred from Bennett to Breckenridge County 1976., ,,,
71415,014-00003,Breckinridge,Irvington City Dump,37.87072222,-86.28152778,32, ,KENVIRONS, , , ,30W, , ,"Sam Dowell Road, Irvington, KY", , , ,Government,Government,0,72,Y,2, , , ,,,
77434,014-00006,Breckinridge,Roadside dump near Garfield (Does not qualify for HB 174),37.79,-86.36, ,Y,DWM,N/A,N/A,NFA,S1C2, , , ,Garfield Roadside Dump, ,No Record,Uncontrolled,Government,0,0,Y, , ,Nothing at dot, ,,,
71416,014-00017,Breckinridge,Old Breckinridge Landfill,37.78852778,-86.58511111,,,,,,,,,,,Raymond Bennet Landfill,,DEP Other,Government ,Government,81,71,,,,,,,,
77435,014-00007,Breckinridge,Roadside dump at Locust Hill (Does not qualify for HB 174),37.7465,-86.39872222, ,Y,DWM,N/A,N/A,NFA,S1C2, , ,"Harned Locust Hill Road, Harned, KY",Harned-Locust Hill Roadside Dump, , ,Uncontrolled,Government,0,0,Y, , ,"Active dump, previously cleaned up and returned", ,,,
77436,014-00008,Breckinridge,Roadside dump at Westview (Does not qualify for HB 174),37.6925,-86.39180556, ,Y,DWM,N/A,N/A,NFA,S1C2, , , , , ,No Record,Uncontrolled,Government,0,0,Y, , , , ,,,
77437,014-00009,Breckinridge,Roadside dump in field (Does not qualify for HB 174),37.76641667,-86.41322222, ,Y,DWM,N/A,N/A,NFA,S1C2, , , ,"Roadside Dump, Eupesus School", ,No Record,Private,Private,0,0,Y, , ,"Local info, dump cleaned up", ,,,
77438,014-00010,Breckinridge,Roadside dump near Kingswood (Does not qualify for HB 174),37.70669444,-86.435, ,Y,DWM,N/A,N/A,NFA,S1C2, , ,"KY 79/259 Kingswood, KY", , ,No Record,Uncontrolled,Government,0,0,Y, , ,"Mostly cleaned up, some trash, remains active", ,,,
77440,014-00012,Breckinridge,Roadside dump over cliff (Does not qualify for HB 174),37.82741667,-86.44447222, ,Y,DWM,N/A,N/A,NFA,S1C2,_, , ,Roadside Dump - North Friendship Church,Friendship Church Dump - North,No Record,Uncontrolled,Government,0,0,Y, , ,"Active dump over cliff, household garbage and appliances.", ,,,
77441,014-00013,Breckinridge,Roadside dump (Does not qualify for HB 174),37.80766667,-86.488, ,Y,DWM,N/A,"N/A
N/A",NFA,S1C2,_, , ,Roadside Dump - Axtel, ,No record,Uncontrolled,Private,0,0,Y, , ,Active dump for over 20 years, ,,,
77442,014-00014,Breckinridge,Roadside dump near RR track road (Does not qualify for HB 174),37.69963889,-86.52333333, ,Y,DWM,N/A,N/A,NFA,S1C2,_, , ,McQuady Roadside Dump, ,"No Record 
No Record",Uncontrolled,Government,0,0,Y, , ,Old roadside dump has been covered over., ,,,
77443,014-00015,Breckinridge,Roadside dump over bank (Does not qualify for HB 174),37.95194444,-86.48511111, ,Y,DWM,N/A,N/A,NFA,S1C2,_, , ,Roadside Dump - Ammons & Mooleyville, ,No record,Uncontrolled,Government,0,0,Y, , ,Site has been cleaned up, ,,,
43657,014-00026,Breckinridge,George Bennett,37.80875,-86.51555556, , , , , , ,S1C2,_, ,"US 60 W, Hardinsburg, KY",G E Bennett Landfill, , ,Private,Private,88,92,Y, , ,"Open dump, photos show CDD and discarded tanks", ,,,
77430,014-00002,Breckinridge,Hardinsburg Dump,37.69336111,-86.42533333, , , , , , ,S1C2,_, ,"Stinnett Taul Road, Hardinsburg, KY",Hardinsburg City Dump, ,No Record,Private,Leased,71,0,Y, , , , ,,,
77432,014-00004,Breckinridge,Brown Development,37.63777778,-86.47238889, , , , , , ,S1C2,_, , ,Russell Hinton Property Dump, ,No Record,Private,Private,0,0,Y, , ,Nothing found at dot, ,,,
77433,014-00005,Breckinridge,Abandoned quarry near Bewleyville,37.82305556,-86.23625, , , , , , ,S1C2,_, , ,Open Dump - Bewelyville Quarry, ,No Record,Private,Private,0,61,Y, , ,"Open dump, old farm equipment, cans, bottles", ,,,
77439,014-00011,Breckinridge,Abandoned Hardinsburg Site,37.81283333,-86.44077778, , , , , , ,S1C2,_, ,"KY 261, Hardinsburg, KY",Open Dump - South Friendship Church, ,No Record,Uncontrolled,Private,0,0,Y, , ,"Dump over cliff, 40-50 years ago. Location estimated based on local information.", ,,,
77444,014-00016,Breckinridge,Dump over bank at Stephensport,37.91733333,-86.51938889, , , , , , ,S1C2,_, ,"KY 144, Stephensport, KY",Ohio Riverbank Dump - Stephensport, ,No Record,Uncontrolled,Government,0,0,Y, , ,Open Dump, ,,,
125103,015-A0006,Bullitt,8514 Thixton Lane,38.076138,-85.610056,51, ,KENVIRONS, , , , , , ,"8514 Thixton Lane, Louisville, KY",(G.K. Eisenback Suburban Sanitation), ,Reassigned,Private,Unknown,0,73,Y,30.42, ,Citizen reported landfill. Three waste areas., ,,,
51976,015-A0004,Bullitt,Mudd Property,37.9995,-85.9256,42, ,KENVIRONS, , , ,adequately cleaned up,_, ,"918 Katherine Station Road, Brooks, KY", , , , , ,0,0,Y,5.5, ,"Property now owned by Roger Mudd, James Barrett, and Mr. Metcalfe. Superfund found naturally occuring elev. Arsenic levels. 3 waste areas.", ,,,
435,015-00006,Bullitt,Bullitt Co Landfill,37.87733333,-85.72375,37, ,KENVIRONS, , , ,30W,GW impacts; two occasions in the 90s where burned waste was classified as haz., ,"Colling Hill Road, Belmont, KY",Bullit Co. Residential Landfill, ,Blue Dot,Government,Government,67,92,Y,30.6,54,There are still several small areas that are bare and small erosion gulleys on the North of the landfill.  The south leachate collection tanks accumulate leachate at the slow rate and require pumping out infrequently. There are 2 waste areas., ,,,
43600,015-00008,Bullitt,Harold Meredith Dump,38.04280556,-85.6958,36, ,KENVIRONS, , , ,DWM,No evidence., ,"250 Old Stream LN, Shepherdsville, KY",HMB Inc Landfill,Fox Chase Dump,Private,Private,Leased,84,91,Y,6.2, ,Leased by Harold E. Meredith to Harold G. Shaw, ,,,
51789,015-00002,Bullitt,Tri-City Disposal LF,38.04905556,-85.76805556, , , , , , , , , ,"Klapper Rd, Brooks, KY", , , , , ,64,67,Y, , ,"Superfund site, owned and operated by Tri City Industrial Services, Inc.", ,,,
43231,015-00003,Bullitt,J H Smith Landfill,38.04436111,-85.73369444, , , , , , , ,Superfund has record of industrial waste disposal at the site., ,"Pryor Valley Road, Brooks, KY", , , , , ,56,90,Y, , ,Part of US Superfund site Smith Farm; unpermitted mixed waste landfill, ,,,
450,015-00004,Bullitt,Jim Bean Distillery,37.92936111,-85.64594444, ,Y, , , , , , , ,"562 Happy Hollow Road, Clermont, KY 40110",Jim Bean Brands Co - Clermont Plant, , ,Private,Private,72,87,Y, , ,Closed and bond released in 1996, ,,,
0,015-A0001,Bullitt,Pat Burke Dump,37.98832778,-85.71583333, , , , , , , , , ,Located in Scenic Trail Subdivision, , , ,Private,Private,0,0, , , ,Owned and operated by Pat Burke, ,,,
51917,015-A0005,Bullitt,Route 44 Quarry Dump,38.03583333,-85.58, , , , , , , , , ,"KY 44, Mount Washington, KY", , , , , ,0,0,Y, , ,"North of Rt. 44, 2 mi. west of Mt. Washington", ,,,
37462,016-00004,Bullitt,IMCO Recycling Landfill,37.207222,-85.72222, , , , , , , , , ,"KY 44, Mount Washington, KY", , , , , ,0,0,Y, , , , ,,,
482,016-00002,Butler,City of Bowling Green,37.22380556,-86.72466667,P,Y,MOA, ,Y,CONSTR,S1C1,_, ,"5200 Dolin Lake Road, Morgantown, KY",Bowling Green - Butler Co. LF,Butlet Co. LF - BG,Blue Dot,Government,Government,79,90,Y, , ,6 monitoring wells identified on site. Leachate is getting pumped by pump station to sanitary sewers., ,,,
43632,016-00003,Butler,Cedar Ridge Land Development LF,37.2,-86.83055556, , , , , , ,S1C1,_, ,"Gobel Southerland Rd, South Hill, KY", , ,Blue Dot,Private,Private,83,88,Y, , ,Located at strip mine. Two waste areas., ,,,
77467,016-00001,Butler,Morgantown City,37.22897222,-86.71072222, , , , , , ,S1C1,_, , , , , ,Government,Leased,70,79,Y, , ,"Old dump covered with soil, new dump nearby, thick vegetation.", ,,,
78091,016-00016,Butler,KY Highway Dept open dump,37.21230556,-86.70716667, , , , , , ,S1C1,_, , , , ,Reassigned,Government,Leased,0,70,Y, , ,"Nothing visible, cleaned up.", ,,,
494,017-00003,Caldwell,Grinnell Corporation Inert Landfill,37.06644444,-87.85661111,22, ,ATC, , , ,S1W2,"motor oil, hydraulic fluid, metal shavings, oil & grease soaked sawdust, incinerator residue, graphite. Possible PCBs here.", ,"100 Fontaine Road, Princeton, KY",Fontaine Trailer Co.,ITT Grinnell Welding Products LF,DEP Other,Private,Private,70,85,Y,3, ,"Fenced landfill, 4 monitoring wells.", ,,,
78551,017-00001,Caldwell,City of Princeton LF,37.12708611,-87.88221389,19, ,ATC, , , ,S1W2,_, ,"Plum St, Princeton, KY",West Kentucky Sanitary Landfill, ,Terminated,Government,Government,64,78,Y, , ,"Wooded area in SW corner of landfill with scrap metal, drums, tires and trash encountered during sitewalk.  City of Princeton Police Dept. uses the area as a shooting range.  Site was operated as the county waste dumpsite.", ,,,
