SOURCE OF WATER,WATER SYSTEM,PFAS RESULT,POTENTIAL PFAS USER,INDICATOR SCORE,DISTANCE
SW,MONTICELLO WATER & SEWER COMMISSION,NS,KINGSFORD MANUFACTURING CO,100,11.62784283
SWP,SO ANDERSON WATER DISTRICT,NS,YOKOHAMA INDUSTRIES AMERICAS (SEALANT DIV),100,11.62238505
SWP,MIDWAY MUNICIPAL WATER WORKS,NS,TOYOTA MOTOR MANUFACTURING KENTUCKY INC,25,11.62186448
GW,RIVER RIDGE PARK INC,NS,3M CO HEBRON,100,11.62022494
SWP,CALHOUN WATER WORKS,NS,BIG RIVERS ELECTRIC CORP WILSON STATION,25,11.61897676
GW,SHAWNEE BAY RESORT,NS,ISP CHEMICALS LLC,100,11.61746898
GW,WESTERN SHORES PAVILION,NS,ARCOSA MARINE PRODUCTS INC PLT 1245,50,11.61444074
SWP,GRAND RIVERS WATER SYSTEM,NS,3A COMPOSITES USA INC,50,11.6134877
SWP,MAMMOTH CAVE/CENTRAL SYSTEM,NS,NEMAK GLASGOW PLANT #1,50,11.61312697
SWP,FORT CAMPBELL,NS,METALSA SA DE CV,25,11.61234409
GW,SUNSET HARBOR HILL CAMPGROUND,NS,VANDERBILT CHEMICALS LLC-MURRAY DIV,100,11.61188802
SWP,SO ANDERSON WATER DISTRICT,NS,HAYASHI TELEMPU NA,25,11.61081571
SW,WILMORE WATER WORKS,NS,CORNING INC,50,11.5955006
GW,BUZZARD ROCK RESORT AND MARINA,NS,SEKISUI SPECIALTY CHEMICALS AMERICA LLC,100,11.5932444
GW,NORTONVILLE WATER WORKS,NS,AHLSTROM-MIUNKSJO FILTRATION LLC,25,11.58733504
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,REYNOLDS CONSUMER PRODUCTS LLC LOUISVILLE FOIL PLANT,50,11.57712269
SW,CYNTHIANA MUNICIPAL WATER WORKS,9.56,ITW COMMERCIAL CONSTRUCTION NA,50,11.57412154
SW,NORTHERN KENTUCKY WATER DISTRICT Memorial PKWY WTP,5.75,FIRESTONE BUILDING PRODUCTS,50,11.57202284
SWP,GARRARD CO WATER ASSOC INC,NS,DANA SEALING MANUFACTURING LLC,50,11.56954868
SW,KENTUCKY-AMERICAN WATER CO-Richmond,1.39,SARGENT & GREENLEAF,50,11.56772824
SWP,FARMDALE WATER DISTRICT,NS,LEDVANCE LLC,50,11.56179419
GW,ARLINGTON WATER DEPARTMENT,ND,INGEVITY VIRGINIA CORP-WICKLIFFE CARBON PLANT,100,11.55992449
SWP,BLUEGRASS STATION,NS,FORTERRA CONCRETE INDUSTRIES INC - LEXINGTON,50,11.55869065
GW,BUZZARD ROCK RESORT AND MARINA,NS,CC METALS & ALLOYS LLC,50,11.55636797
SW,PARIS WATER WORKS,NS,3M CO - CYNTHIANA,25,11.55558377
SWP,MT WASHINGTON WATER COMPANY,NS,FAURECIA EXHAUST SYSTEMS INC LOUISVILLE PLANT,25,11.54851207
SWP,CITY OF WEST POINT,NS,CYTECH PRODUCTS INC,100,11.54274834
SW,NORTHERN KENTUCKY WATER DISTRICT Memorial PKWY WTP,5.75,A O SMITH CORP PROTECTIVE COATINGS DIV,100,11.53622411
SW,NORTHERN KENTUCKY WATER DISTRICT FT Thomas WTP,11.9,FIRESTONE BUILDING PRODUCTS,50,11.53524969
GW,RIVER RIDGE PARK INC,NS,MEYER TOOL INC,25,11.53459393
SWP,SO WOODFORD CO WATER DISTRICT,NS,FLORIDA TILE INC,50,11.52586142
GW,CAMP TURNABOUT,NS,DUKE ENERGY KENTUCKY INC - EAST BEND GENERATING STATION,25,11.5197195
SWP,MT WASHINGTON WATER COMPANY,NS,GENERAL EQUIPMENT & MANUFACTURING CO INC,25,11.5149525
SW,NORTHERN KENTUCKY WATER DISTRICT Memorial PKWY WTP,5.75,EAGLE MANUFACTURING LLC,25,11.51211857
SWP,BROWNSVILLE MUNICIPAL WATER SYSTEM,NS,PAN OSTON CO,25,11.49975484
SW,NORTHERN KENTUCKY WATER DISTRICT FT Thomas WTP,11.9,A O SMITH CORP PROTECTIVE COATINGS DIV,100,11.49911778
GW,HENRY COUNTY WATER DISTRICT #2,NS,LOUISVILLE GAS & ELECTRIC CO - TRIMBLE COUNTY STATION,25,11.49859992
SWP,CITY OF WEST POINT,NS,AKEBONO - ELIZABETHTOWN PLANT,25,11.49794591
SW,PARIS WATER WORKS,NS,LANDMARK STONE,50,11.49530118
GW,POTTERS RANCH,NS,ESCO CORP,25,11.49088806
SWP,MAMMOTH CAVE/CENTRAL SYSTEM,NS,FEDERAL-MOGUL MOTORPARTS CORP,25,11.49061849
SWP,NORTH SHELBY WATER DISTRICT,NS,OHIO VALLEY ALUMINUM CO INC,50,11.4902366
SWP,US 60 WATER DISTRICT,NS,OHIO VALLEY ALUMINUM CO INC,50,11.4902366
GW,BUZZARD ROCK RESORT AND MARINA,NS,WESTLAKE PVC CORP,100,11.48755908
GW,SHAWNEE BAY RESORT,NS,WESTLAKE PVC CORP,100,11.48558759
SW,VERSAILLES WATER SYSTEM,NS,AMERICAN HOWA OF KENTUCKY GEORGETOWN,25,11.48530425
GW,KELLY ELEMENTARY SCHOOL,NS,OBARA CORP USA,25,11.48054439
SW,PERDUE FARMS INC,1.01,US TVA PARADISE FOSSIL PLANT,25,11.48023367
SWP,ELKHORN WATER DISTRICT,NS,SCHNEIDER ELECTRIC USA INC,25,11.47970304
SWP,PEAKS MILL WATER DISTRICT,NS,SCHNEIDER ELECTRIC USA INC,25,11.47970304
SW,NORTHERN KENTUCKY WATER DISTRICT FT Thomas WTP,11.9,EAGLE MANUFACTURING LLC,25,11.47258986
SW,NORTHERN KENTUCKY WATER DISTRICT Memorial PKWY WTP,5.75,CAMCO CHEMICAL CO INC,100,11.46875125
GW,KELLY ELEMENTARY SCHOOL,NS,EAGLE MANUFACTURING LLC,25,11.46800607
SWP,NE WOODFORD CO WATER DISTRICT,NS,SCHNEIDER ELECTRIC USA INC,25,11.46623043
GW,RIVER RIDGE PARK INC,NS,LYONS EAST,50,11.46257344
GW,AUGUSTA REGIONAL WTP,7.31,SPURLOCK POWER STATION,25,11.46096701
SWP,SOUTHERN MADISON WATER DISTRICT,NS,ENERSYS DELAWARE INC,25,11.45846813
SWP,AUBURN MUN WATER WORKS,NS,EMERSON ELECTRIC CO,25,11.4580302
SW,PARIS WATER WORKS,NS,CHROMASCAPE INC,100,11.45155943
GW,JONATHAN CREEK WATER DISTRICT,NS,ISP CHEMICALS LLC,100,11.43553996
SW,NORTHERN KENTUCKY WATER DISTRICT FT Thomas WTP,11.9,CAMCO CHEMICAL CO INC,100,11.43114168
SW,LANCASTER WATER WORKS,1.62,INTELLIGRATED SYSTEMS LLC,25,11.42704361
GW,WARSAW WATER WORKS,ND,CERTAINEED GYPSUM,50,11.4231721
GW,BUZZARD ROCK RESORT AND MARINA,NS,WACKER CHEMICAL CORP POLYMERS DIV,100,11.41727681
SWP,SACRAMENTO WATER WORKS,NS,THE WESTERN KENTUCKY COAL CO - GENESIS MINE,75,11.41692777
GW,RIVER RIDGE PARK INC,NS,EAGLE MANUFACTURING LLC,25,11.41629865
GW,SHAWNEE BAY RESORT,NS,WACKER CHEMICAL CORP POLYMERS DIV,100,11.41516848
SW,BULLOCK PEN WATER DISTRICT,NS,BENDA-LUTZ CORP,100,11.39978439
GW,JONATHAN CREEK WATER DISTRICT,NS,WESTLAKE VINYLS INC,100,11.39424228
GW,KELLY ELEMENTARY SCHOOL,NS,GE ALSTOM POWER,50,11.38724947
SW,BULLOCK PEN WATER DISTRICT,NS,DARLING INGREDIENTS INC,25,11.38251899
SW,BEREA MUNICIPAL UTILITIES,NS,ENERSYS DELAWARE INC,25,11.37365129
SWP,NORTH MERCER WATER DISTRICT,NS,CORNING INC,50,11.37015783
SWP,AUBURN MUN WATER WORKS,NS,MERITOR HEAVY VEHICLE SYSTEMS LLC,50,11.36054
SWP,PARKSVILLE WATER DISTRICT,NS,CORNING INC,50,11.35895724
GW,RIVER RIDGE PARK INC,NS,BENDA-LUTZ CORP,100,11.35850083
SWP,SO WOODFORD CO WATER DISTRICT,NS,GENERAL CABLE CORP,25,11.35696452
SWP,NEBO WATER DISTRICT,NS,JLOK CORP,100,11.35587198
GW,SHAWNEE BAY RESORT,NS,SEKISUI SPECIALTY CHEMICALS AMERICA LLC,100,11.34878644
GW,GALLATIN COUNTY WATER DISTRICT-Plant A,ND,DOW SILICONES CORP,100,11.34471321
GW,BUZZARD ROCK RESORT AND MARINA,NS,EVONIK CORP CALVERT CITY PLANT,100,11.34341703
SWP,AUBURN MUN WATER WORKS,NS,QG PRINTING II CORP,25,11.34217485
GWP,CLOVERPORT WATER & SEWER SYSTEM,NS,CENTURY ALUMINUM OF KENTUCKY,50,11.34095844
GW,KELLY ELEMENTARY SCHOOL,NS,WELDING ALLOYS USA INC,25,11.34000373
SWP,WALTON WATERWORKS DEPARTMENT,NS,ESCO CORP,25,11.33990359
GW,SHAWNEE BAY RESORT,NS,ESTRON CHEMICALS INC,100,11.33069706
SWP,BLUEGRASS STATION,NS,AVANTOR PERFORMANCE MATERIALS,100,11.32952989
GW,KELLY ELEMENTARY SCHOOL,NS,MUBEA INC,50,11.3229292
GW,KELLY ELEMENTARY SCHOOL,NS,CELANESE ENGINEERED MATERIALS,100,11.31470338
SW,WILMORE WATER WORKS,NS,HITACHI AUTOMOTIVE SYSTEMS AMERICAS INC-HK,25,11.30629119
SW,CYNTHIANA MUNICIPAL WATER WORKS,9.56,AVANTOR PERFORMANCE MATERIALS,100,11.29994594
GW,RIVER'S EDGE CAMPGROUND,NS,CERTAINEED GYPSUM,50,11.29964034
SW,GLASGOW WATER COMPANY,NS,T MARZETTI CO,25,11.28859078
SWP,MUHLENBERG CO WATER DISTRICT,NS,US TVA PARADISE FOSSIL PLANT,25,11.27922106
SWP,MUHLENBERG CO WATER DISTRICT #3,NS,US TVA PARADISE FOSSIL PLANT,25,11.27922106
SWP,MT WASHINGTON WATER COMPANY,NS,EUROFINS MWG OPERON LLC,100,11.27724701
SWP,CENTERTOWN WATER SYSTEM,NS,DAICEL SAFETY SYSTEMS AMERICA LLC,25,11.26670325
SWP,OAK GROVE UTILITIES OFFICE,NS,GRUPO ANTOLIN KENTUCKY,25,11.24261674
SWP,BLUEGRASS STATION,NS,ITW COMMERCIAL CONSTRUCTION NA,50,11.23905736
SW,PERDUE FARMS INC,1.01,REAL ALLOY RECYCLING LLC,50,11.23730071
GW,RIVER RIDGE PARK INC,NS,MUBEA INC,50,11.2353711
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,EUROFINS MWG OPERON LLC,100,11.23158814
SW,NORTHERN KENTUCKY WATER DISTRICT Memorial PKWY WTP,5.75,THUSSENKRUPP ROTHE ERDE USA INC,50,11.2289366
GW,RIVER RIDGE PARK INC,NS,CELANESE ENGINEERED MATERIALS,100,11.22438388
GW,KELLY ELEMENTARY SCHOOL,NS,M-I LLC SWECO DIV,25,11.21852959
SWP,OAK GROVE UTILITIES OFFICE,NS,FREUDENBERG HOPKINSVILLE KY SITE,50,11.21619352
SWP,FORT CAMPBELL,NS,COMMONWEALTH AGRI-ENERGY LLC,100,11.21320401
GW,WHITE PLAINS WATER SYSTEM,NS,US ARMY NATIONAL GUARD WENDELL FORD TRAINING CENTER RANGES,25,11.21251127
SWP,NORTH SHELBY WATER DISTRICT,NS,KATAYAMA AMERICAN CO INC,25,11.21009132
SWP,US 60 WATER DISTRICT,NS,KATAYAMA AMERICAN CO INC,25,11.21009132
GW,JONATHAN CREEK WATER DISTRICT,NS,WESTLAKE PVC CORP,100,11.19873043
SWP,BROWNSVILLE MUNICIPAL WATER SYSTEM,NS,SHILOH - BOWLING GREEN,25,11.19615827
SW,FRANKFORT PLANT BOARD,1.35,LEDVANCE LLC,50,11.19399794
SWP,SO ANDERSON WATER DISTRICT,NS,TOPY AMERICA INC,25,11.19364896
SW,LAWRENCEBURG WATER & SEWER DEPT,NS,TOPY AMERICA INC,25,11.19352629
SW,NORTHERN KENTUCKY WATER DISTRICT FT Thomas WTP,11.9,THUSSENKRUPP ROTHE ERDE USA INC,50,11.19224932
SWP,NORTH MERCER WATER DISTRICT,NS,FLORIDA TILE INC,50,11.19210365
SWP,CITY OF WEST POINT,NS,FLINT CPS INKS NA LLC,100,11.18627938
SWP,MONTGOMERY CO WATER DISTRICT #1,NS,CTI FOODS,25,11.18376752
GW,RIVER RIDGE PARK INC,NS,M-I LLC SWECO DIV,25,11.16704823
GW,GALLATIN COUNTY WATER DISTRICT-Plant B,ND,NUCOR STEEL GALLATIN LLC,50,11.1644223
SWP,SO WOODFORD CO WATER DISTRICT,NS,WEBASTO ROOF SYSTEMS INC,25,11.15643843
GW,SHAWNEE BAY RESORT,NS,EVONIK CORP CALVERT CITY PLANT,100,11.15611444
SW,LANCASTER WATER WORKS,1.62,DANA SEALING MANUFACTURING LLC,50,11.15272718
GW,KELLY ELEMENTARY SCHOOL,NS,ARISTECH SURFACES LLC,50,11.14543568
GW,KELLY ELEMENTARY SCHOOL,NS,ARISTECH SURFACES LLC,50,11.14543568
GW,CITY OF SOUTH SHORE WATER WORKS,66.67,NELSON BROTHERS LLC,100,11.14218071
SWP,BROWNSVILLE MUNICIPAL WATER SYSTEM,NS,AMERICAN HOWA KENTUCKY INC,25,11.141237
GWP,BRACKEN COUNTY WATER DISTRICT,NS,GREEN TOKAI CO - MAYSVILLE,25,11.14055934
SW,STANFORD WATER WORKS,ND,LSC COMMUNICATIONS /DANVILLE,25,11.13685274
SWP,KENTUCKY AMERICAN WATER- MILLERSBURG,NS,DONALDSON CO INC,25,11.1264068
SWP,KENTUCKY AMERICAN WATER - EASTERN ROCKCA,NS,DONALDSON CO INC,25,11.1264068
SW,RICHMOND UTILITIES,NS,STEMCO PRODUCTS INC,50,11.12636242
SW,NORTHERN KENTUCKY WATER DISTRICT Memorial PKWY WTP,5.75,RONAN ENGINEERING CO,25,11.12548958
GW,CENTER RIDGE WATER DISTRICT #2,NS,SAPUTO DAIRY FOODS USA LLC,25,11.12369136
GW,CENTER RIDGE WATER DISTRICT #3,NS,SAPUTO DAIRY FOODS USA LLC,25,11.12369136
GW,CENTER RIDGE WATER DISTRICT #4,NS,SAPUTO DAIRY FOODS USA LLC,25,11.12369136
GW,CENTER RIDGE WATER SYSTEM,NS,SAPUTO DAIRY FOODS USA LLC,25,11.12369136
GWP,LAGRANGE UTILITIES COMMISSION,NS,LIBERTAS COPPER LLC,50,11.12029321
GW,JONATHAN CREEK WATER DISTRICT,NS,WACKER CHEMICAL CORP POLYMERS DIV,100,11.11318665
GW,JONATHAN CREEK WATER DISTRICT,NS,ESTRON CHEMICALS INC,100,11.10369265
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,KELLEY TECHNICAL COATINGS INC,100,11.10048192
SWP,CAVELAND ENVIRONMENTAL AUTHORITY,NS,NEMAK GLASGOW PLANT #1,50,11.09351177
GW,JONATHAN CREEK WATER DISTRICT,NS,SEKISUI SPECIALTY CHEMICALS AMERICA LLC,100,11.09199051
SW,NORTHERN KENTUCKY WATER DISTRICT FT Thomas WTP,11.9,RONAN ENGINEERING CO,25,11.08847626
SWP,BROWNSVILLE MUNICIPAL WATER SYSTEM,NS,CONSTELLIUM-UACJ ABS LLC,50,11.0884054
GW,RIVER RIDGE PARK INC,NS,WELDING ALLOYS USA INC,25,11.08592317
SWP,OAK GROVE UTILITIES OFFICE,NS,MSSC-US,50,11.07681764
SW,CENTURY ALUMINUM SEBREE LLC,NS,INTERNATIONAL PAPER - HENDERSON MILL,25,11.0712269
SW,NORTHERN KENTUCKY WATER DISTRICT Memorial PKWY WTP,5.75,MEYER TOOL INC,25,11.06838892
SWP,CUMBERLAND CO WATER DISTRICT,NS,EQUITY GROUP KENTUCKY DIV LLC PROCESSING PLANT,25,11.06541414
SWP,BOONE CO WATER & SEWER DISTRICT,NS,INTERPLASTIC CORP-FORT WRIGHT,100,11.06240843
SWP,ELKTON WATER WORKS,NS,KOPPERS INC (GUTHRIE),50,11.05815523
GW,RIVER RIDGE PARK INC,NS,ARISTECH SURFACES LLC,50,11.0491911
GW,RIVER RIDGE PARK INC,NS,ARISTECH SURFACES LLC,50,11.0491911
GW,CALVERT CITY MUNICIPAL WATER DEPARTMENT,ND,3A COMPOSITES USA INC,50,11.04307737
SWP,JEFFERSONVILLE WATER SYSTEM,NS,CTI FOODS,25,11.01950598
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,HEXION INC,100,11.01872191
GW,CARROLLTON UTILITIES,ND,NUCOR STEEL GALLATIN LLC,50,11.01793443
GWP,WEST CARROLL WATER DISTRICT - CARROLLTON,NS,NUCOR STEEL GALLATIN LLC,50,11.01793443
GWP,GRAYSON UTILITY COMMISSION,NS,NUCOR STEEL GALLATIN LLC,50,11.01793443
GWP,WEST CARROLL WATER DISTRICT- HENRY CO #2,NS,NUCOR STEEL GALLATIN LLC,50,11.01793443
SW,NORTHERN KENTUCKY WATER DISTRICT FT Thomas WTP,11.9,MEYER TOOL INC,25,11.01304866
GW,KELLY ELEMENTARY SCHOOL,NS,SOUTHERN GRAPHIC SYSTEMS LLC,25,11.0086254
SW,STANFORD WATER WORKS,ND,DENYO MANUFACTURING CORP,25,11.00600742
GW,JONATHAN CREEK WATER DISTRICT,NS,CYMETECH CORP,100,11.00316839
GW,JONATHAN CREEK WATER DISTRICT,NS,LUBRIZOL ADVANCED MATERIALS INC,100,11.00316839
GW,KELLY ELEMENTARY SCHOOL,NS,CRANE COMPOSITES INC,50,11.00278082
