1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FEDERAL FACILITY,19. INDUSTRY SECTOR CODE,20. INDUSTRY SECTOR,21. PRIMARY SIC,22. SIC 2,23. SIC 3,24. SIC 4,25. SIC 5,26. SIC 6,27. PRIMARY NAICS,28. NAICS 2,29. NAICS 3,30. NAICS 4,31. NAICS 5,32. NAICS 6,33. DOC_CTRL_NUM,34. CHEMICAL,35. ELEMENTAL METAL INCLUDED,36. TRI CHEMICAL/COMPOUND ID,37. CAS#,38. SRS ID,39. CLEAN AIR ACT CHEMICAL,40. CLASSIFICATION,41. METAL,42. METAL CATEGORY,43. CARCINOGEN,44. PFAS,45. FORM TYPE,46. UNIT OF MEASURE,47. 5.1 - FUGITIVE AIR,48. 5.2 - STACK AIR,49. 5.3 - WATER,50. 5.4 - UNDERGROUND,51. 5.4.1 - UNDERGROUND CL I,52. 5.4.2 - UNDERGROUND C II-V,53. 5.5.1 - LANDFILLS,54. 5.5.1A - RCRA C LANDFILL,55. 5.5.1B - OTHER LANDFILLS,56. 5.5.2 - LAND TREATMENT,57. 5.5.3 - SURFACE IMPNDMNT,58. 5.5.3A - RCRA SURFACE IM,59. 5.5.3B - OTHER SURFACE I,60. 5.5.4 - OTHER DISPOSAL,61. ON-SITE RELEASE TOTAL,62. 6.1 - POTW - TRNS RLSE,63. 6.1 - POTW - TRNS TRT,64. POTW - TOTAL TRANSFERS,65. 6.2 - M10,66. 6.2 - M41,67. 6.2 - M62,68. 6.2 - M40 METAL,69. 6.2 - M61 METAL,70. 6.2 - M71,71. 6.2 - M81,72. 6.2 - M82,73. 6.2 - M72,74. 6.2 - M63,75. 6.2 - M66,76. 6.2 - M67,77. 6.2 - M64,78. 6.2 - M65,79. 6.2 - M73,80. 6.2 - M79,81. 6.2 - M90,82. 6.2 - M94,83. 6.2 - M99,84. OFF-SITE RELEASE TOTAL,85. 6.2 - M20,86. 6.2 - M24,87. 6.2 - M26,88. 6.2 - M28,89 6.2 - M93,90. OFF-SITE RECYCLED TOTAL,91. 6.2 - M56,92. 6.2 - M92,93. OFF-SITE ENERGY RECOVERY T,94. 6.2 - M40 NON-METAL,95. 6.2 - M50,96. 6.2 - M54,97. 6.2 - M61 NON-METAL,98. 6.2 - M69,99. 6.2 - M95,100. OFF-SITE TREATED TOTAL,101. 6.2 - UNCLASSIFIED,102. 6.2 - TOTAL TRANSFER,103. TOTAL RELEASES,104. 8.1 - RELEASES,105. 8.1A - ON-SITE CONTAINED,106. 8.1B - ON-SITE OTHER ,107. 8.1C - OFF-SITE CONTAIN,108. 8.1D - OFF-SITE OTHER R,109. 8.2 - ENERGY RECOVER ON,110. 8.3 - ENERGY RECOVER OF,111. 8.4 - RECYCLING ON SITE,112. 8.5 - RECYCLING OFF SIT,113. 8.6 - TREATMENT ON SITE,114. 8.7 - TREATMENT OFF SITE,115. PRODUCTION WSTE (8.1-8.7),116. 8.8 - ONE-TIME RELEASE,117. PROD_RATIO_OR_ ACTIVITY,118. 8.9 - PRODUCTION RATIO
2019,42101LLLYN347CE,1.1E+11,SHERWIN-WILLIAMS CO,347 CENTRAL AVE,BOWLING GREEN,WARREN,KY,42101,,,36.93149,-86.49988,NAD83,THE SHERWIN-WILLIAMS CO,4206397,THE SHERWIN-WILLIAMS CO,NO,325,Chemicals,,,,,,,325510,,,,,,1.31922E+12,Xylene (mixed isomers),NO,1330207,1330-20-7,84970,YES,TRI,NO,0,NO,NO,R,Pounds,855,6352,0,0,0,0,0,0,0,0,0,0,0,0,7207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72700,0,72700,0,0,0,0,5236,0,5236,0,77936,7207,0,0,7207,0,0,0,72700,122769,0,0,5236,207912,,PRODUCTION,1
2019,41105RMCSHUSROU,1.10067E+11,AK STEEL CORP,170 ARMCO ROAD,ASHLAND,BOYD,KY,41101,,,38.498333,-82.663611,NAD83,AK STEEL CORP,606072130,AK STEEL HOLDING CORP,NO,331,Primary Metals,,,,,,,331110,,,,,,1.31922E+12,Ammonia,NO,7664417,7664-41-7,152389,NO,TRI,NO,0,NO,NO,R,Pounds,0,45,57,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,102,0,0,0,0,0,0,0,0,102,,ACTIVITY,0.3
2019,41105RMCSHUSROU,1.10067E+11,AK STEEL CORP,170 ARMCO ROAD,ASHLAND,BOYD,KY,41101,,,38.498333,-82.663611,NAD83,AK STEEL CORP,606072130,AK STEEL HOLDING CORP,NO,331,Primary Metals,,,,,,,331110,,,,,,1.31922E+12,Aluminum (fume or dust),NO,7429905,7429-90-5,149476,NO,TRI,NO,4,NO,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ACTIVITY,0.3
2019,40216BRDNN6200C,1.1E+11,HEXION VAD LLC,6200 CAMPGROUND RD,LOUISVILLE,JEFFERSON,KY,40216,,,38.195278,-85.872222,NAD83,HEXION VAD LLC,118106338,HEXION HOLDINGS CORP,NO,325,Chemicals,,,,,,,325211,325199,,,,,1.31922E+12,Ethylene glycol,NO,107211,107-21-1,24257,YES,TRI,NO,0,NO,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2019,42029STRNCHIGHW,1.1E+11,ESTRON CHEMICALS INC,807 NORTH MAIN ST,CALVERT CITY,MARSHALL,KY,42029,,,37.043639,-88.354639,NAD83,NA,,NA,NO,325,Chemicals,,,,,,,325211,,,,,,1.31922E+12,Methyl methacrylate,NO,80626,80-62-6,8458,YES,TRI,NO,0,NO,NO,R,Pounds,82,9321,0,0,0,0,0,0,0,0,0,0,0,0,9403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9403,0,0,9403,0,0,0,0,0,0,0,0,9403,,PRODUCTION,1.12
2019,40258MSMTL711IN,1.10031E+11,MISA METAL FABRICATING INC,7101 INTERNATIONAL DR,LOUISVILLE,JEFFERSON,KY,40258,,,38.1652,-85.8859,NAD83,NA,,NA,NO,333,Machinery,,,,,,,333249,,,,,,1.31922E+12,Lead,NO,7439921,7439-92-1,149583,YES,PBT,YES,1,YES,NO,R,Pounds,1.2,12,0.028,0,0,0,0,0,0,0,0,0,0,0,13.228,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,26026,0,0,0,26026,0,0,0,0,0,0,0,0,0,0,0,26026.28,13.508,0,0,13.228,0,0.28,0,0,0,26026,0,0,26039.508,,PRODUCTION,0.92
2019,42029STRNCHIGHW,1.1E+11,ESTRON CHEMICALS INC,807 NORTH MAIN ST,CALVERT CITY,MARSHALL,KY,42029,,,37.043639,-88.354639,NAD83,NA,,NA,NO,325,Chemicals,,,,,,,325211,,,,,,1.31922E+12,Xylene (mixed isomers),NO,1330207,1330-20-7,84970,YES,TRI,NO,0,NO,NO,R,Pounds,3,4218,0,0,0,0,0,0,0,0,0,0,0,0,4221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4221,0,0,4221,0,0,0,0,0,0,0,0,4221,,PRODUCTION,0.7
2019,40272LSVLL14660,1.1E+11,LOUISVILLE GAS & ELECTRIC CO - MILL CREEK STATION,14660 DIXIE HWY,LOUISVILLE,JEFFERSON,KY,40272,,,38.0501,-85.9076,NAD83,PPL CORP,621101484,PPL CORP,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1.31922E+12,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,7647010,7647-01-0,152231,YES,TRI,NO,0,NO,NO,R,Pounds,0,120500,0,0,0,0,0,0,0,0,0,0,0,0,120500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120500,0,0,120500,0,0,0,0,0,0,9458498.78,0,9578998.78,,PRODUCTION,1
2019,40475THSHRBOGGS,1.10002E+11,SHERWIN-WILLIAMS CO,395 BOGGS LN - S,RICHMOND,MADISON,KY,40475,,,37.720278,-84.285833,NAD83,THE SHERWIN-WILLIAMS CO,4206397,THE SHERWIN-WILLIAMS CO,NO,325,Chemicals,,,,,,,325510,,,,,,1.31922E+12,Diisocyanates,NO,N120,N120,649715,YES,TRI,NO,0,NO,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5569,0,5569,0,2491,0,0,0,0,2491,0,8060,0,0,0,0,0,0,0,5569,0,0,0,2491,8060,,PRODUCTION,0.88
2019,40509CNTRL2580P,1.1E+11,CENTRAL KENTUCKY PROCESSING INC,2580 PALUMBO DR,LEXINGTON,FAYETTE,KY,40509,,,38.01376,-84.43982,NAD83,NA,,NA,NO,332,Fabricated Metals,,,,,,,332813,,,,,,1.31922E+12,Zinc compounds,NO,N982,N982,649699,NO,TRI,YES,1,NO,NO,R,Pounds,116,1040,0,0,0,0,0,0,0,0,0,0,0,0,1156,0,0,0,0,62656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62656,63812,0,0,1156,0,62656,0,0,0,0,0,0,63812,,ACTIVITY,1.2
2019,41071NWPRTLICKI,1.10002E+11,IPSCO TUBULARS (KENTUCKY) INC,100 STEEL PLANT RD,WILDER,CAMPBELL,KY,41071,,,39.060278,-84.495833,NAD83,TENARIS,6266563,TENARIS,NO,331,Primary Metals,,,,,,,331210,,,,,,1.31922E+12,Manganese compounds,NO,N450,N450,650010,YES,TRI,YES,1,NO,NO,R,Pounds,0,0,131,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,87483,0,0,87502,0,0,0,0,0,0,0,0,0,0,0,87502,131,0,0,131,0,0,0,0,0,87502,0,0,87633,,PRODUCTION,0.55
2019,42351CMMNWKYHWY,1.10058E+11,COMMONWEALTH ROLLED PRODUCTS INC,1372 KY HWY 1957,LEWISPORT,HANCOCK,KY,42351,,,37.950831,-86.845794,NAD83,NA,,ALERIS ROLLED PRODUCTS INC,NO,331,Primary Metals,,,,,,,331314,332812,331315,,,,1.31922E+12,Copper,NO,7440508,7440-50-8,150086,NO,TRI,YES,1,NO,NO,R,Pounds,250,2317,0,0,0,0,0,0,0,0,0,0,0,0,2567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,0,0,2567,0,0,0,0,527634,0,0,0,530201,,PRODUCTION,1
2019,41091CGGSTRT338,1.10006E+11,DUKE ENERGY KENTUCKY INC - EAST BEND GENERATING STATION,6293 BEAVER RD ST RT 338,RABBIT HASH,BOONE,KY,41091,,,38.904444,-84.848333,NAD83,DUKE ENERGY CORP,6996052,DUKE ENERGY CORP,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1.31922E+12,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,7647010,7647-01-0,152231,YES,TRI,NO,0,NO,NO,R,Pounds,0,67000,0,0,0,0,0,0,0,0,0,0,0,0,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67000,0,0,67000,0,0,0,0,0,0,2500000,0,2567000,,PRODUCTION,0.89
2019,42351MRCNLMELAN,1.1E+11,DAL-TILE CORP LEWISPORT PLANT,675 MELANIE LN,LEWISPORT,HANCOCK,KY,42351,,,37.9249,-86.90099,NAD83,MOHAWK INDUSTRIES INC,612757070,MOHAWK INDUSTRIES INC,NO,327,Nonmetallic Mineral Product,,,,,,,327120,,,,,,1.31922E+12,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,N090,N090,649475,YES,TRI,YES,1,NO,NO,R,Pounds,1,12,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3148,0,0,3148,0,0,0,0,0,0,0,0,0,0,0,3148,13,0,0,13,0,0,0,0,3696,3148,0,0,6857,,PRODUCTION,0.74
2019,42029WSTLK2468I,1.10027E+11,WESTLAKE VINYLS INC,2468 IND US TRIAL PKWY,CALVERT CITY,MARSHALL,KY,42029,,,37.051111,-88.334167,NAD83,WESTLAKE CHEMICAL CORP,783918485,WESTLAKE CHEMICAL CORP,NO,325,Chemicals,,,,,,,325199,325180,,,,,1.31922E+12,"1,1,2,2-Tetrachloroethane",NO,79345,79-34-5,7773,YES,TRI,NO,0,YES,NO,R,Pounds,246,41,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,287,0,0,0,0,0,0,30693,0,30980,,PRODUCTION,1
2019,40214LYMPC6804E,1.1001E+11,PPG ARCHITECTURAL COATINGS,6804 ENTERPRISE DRIVE,LOUISVILLE,JEFFERSON,KY,40214,,,38.15354,-85.75182,NAD83,PPG INDUSTRIES INC,1344803,PPG INDUSTRIES INC,NO,325,Chemicals,,,,,,,325510,,,,,,1.31922E+12,Ethylene glycol,NO,107211,107-21-1,24257,YES,TRI,NO,0,NO,NO,R,Pounds,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3073,43,0,0,0,0,3116,0,3116,0.8,0,0,0.8,0,0,0,0,0,0,0,3116,3116.8,,PRODUCTION,1.01
2019,4230WVLRLL12ALS,1.1007E+11,VALOR LLC,1200 ALSOP LN,OWENSBORO,DAVIESS,KY,42303,,,37.77271,-87.0808,NAD83,VALOR LLC,55008924,VALOR LLC,NO,324,Petroleum,,,,,,,324199,,,,,,1.31922E+12,Xylene (mixed isomers),NO,1330207,1330-20-7,84970,YES,TRI,NO,0,NO,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2019,4210WPRJCT714CM,1.1006E+11,CONSTELLIUM BOWLING GREEN,714 COMMONWEALTH BLVD,BOWLING GREEN,WARREN,KY,42101,,,37.03641,-86.312333,NAD83,NA,,CONSTELLIUM BOWLING GREEN LLC,NO,332,Fabricated Metals,,,,,,,332322,,,,,,1.31922E+12,Lead,NO,7439921,7439-92-1,149583,YES,PBT,YES,1,YES,NO,R,Pounds,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.116,0,0.116,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,1.216,0,3849,0,0,0,3849,0,0,0,0,0,0,0,0,0,0,0,3850.216,1.286,0,0,0.07,1.2,0.04,0,0,0,3800,0,0,3801.31,,PRODUCTION,1.22
2019,42087WSTVCHIGHW,1.10042E+11,PHOENIX PAPER WICKLIFFE LLC,1724 FT JEFFERSON HILL RD,WICKLIFFE,BALLARD,KY,42087,,,36.944409,-89.07988,NAD83,PHOENIX PAPER WICKLIFFE LLC,126652952,PHOENIX PAPER WICKLIFFE LLC,NO,322,Paper,,,,,,,322121,322110,,,,,1.31922E+12,Manganese compounds,NO,N450,N450,650010,YES,TRI,YES,1,NO,NO,R,Pounds,0,131,0,0,0,0,0,0,1163,0,0,0,10235,0,11529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11529,0,1163,10366,0,0,0,0,0,0,0,0,11529,,,
