resource_name,location,creator,creator_type,sources,fairness,format,type,description,geographical_area
Waste WTP outfls,https://kygisserver.ky.gov/arcgis/rest/services/WGS84WM_Services/Ky_Wastewater_WGS84WM/MapServer/5,https://kygeoportal.ky.gov/,URL,,FAIR,web,layer,Locations of waste water outflows.,Kentucky
Kentucky County Polygons,https://services.arcgis.com/TosFUe3nXUAksqSj/arcgis/rest/services/Kentucky_County_Polygons/FeatureServer,ArcGIS Online,organization,,FAIR,web,layer,Publicly available layer findable on ArcGIS Online.,Kentucky
Blank White Vector Basemap,https://tiles.arcgis.com/tiles/nGt4QxSblgDfeJn9/arcgis/rest/services/Blank_White_Basemap/VectorTileServer,ArcGIS Online,organization,,FAIR,web,layer,Publicly available layer findable on ArcGIS Online.,
TRI_only_A,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/TRI_states_starting_with_A/FeatureServer,https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-data-files-calendar-years-1987-present,URL,,FAIR,web,layer,"It includes TRI data of states that starts with A.
States name were alphabetically arranged.",United States
TRI_CA-HI,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/TRI_CA_to_HI/FeatureServer,https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-data-files-calendar-years-1987-present,URL,,FAIR,web,layer,"It includes TRI data of the states that starts with CA to HI. 
States name were alphabetically arranged.
The indicator scores were assigned to all sites considering the magnitude of PFAS produced.",United States
TRI__IA-LA,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/TRI_IA_to_LA/FeatureServer,https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-data-files-calendar-years-1987-present,URL,,FAIR,web,layer,"It includes TRI data of the states that starts with IA to LA. 
States name were alphabetically arranged.
The indicator scores were assigned to all sites considering the magnitude of PFAS produced.",United States
TRI__MA-MT,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/TRI_MA_to_MT/FeatureServer,https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-data-files-calendar-years-1987-present,URL,,FAIR,web,layer,"It includes TRI data of the states that starts with MA to MT. 
States name were alphabetically arranged.
The indicator scores were assigned to all sites considering the magnitude of PFAS produced.",United States
TRI__NC-OH,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/TRI_NC_to_OH/FeatureServer,https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-data-files-calendar-years-1987-present,URL,,FAIR,web,layer,"It includes TRI data of the states that starts with NC to OH. 
States name were alphabetically arranged.
The indicator scores were assigned to all sites considering the magnitude of PFAS produced.",United States
TRI__TX-WV,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/TRI_TX_to_WV/FeatureServer,https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-data-files-calendar-years-1987-present,URL,,FAIR,web,layer,"It includes TRI data of the states that starts with TX to WV. 
States name were alphabetically arranged.
The indicator scores were assigned to all sites considering the magnitude of PFAS produced.",United States
TRI__OK-TN,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/TRI_OK_to_TN/FeatureServer,https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-data-files-calendar-years-1987-present,URL,,FAIR,web,layer,"It includes TRI data of the states that starts with OK to TN.
States name were alphabetically arranged.
The indicator scores were assigned to all sites considering the magnitude of PFAS produced.",United States
USA States Generalized1,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/USA_States_Generalized/FeatureServer,ArcGIS Online,organization,,FAIR,web,layer,Publicly available layer findable on ArcGIS Online.,United States
USA_State_Internal_Boundaries,https://services1.arcgis.com/4yjifSiIG17X0gW4/arcgis/rest/services/US_State_Internal_Boundaries/FeatureServer,ArcGIS Online,organization,,FAIR,web,layer,Publicly available layer findable on ArcGIS Online.,United States
AI LIST REPORTS RAW,,Kentucky Department of Environmental Protection,organization,,FAIR,csv,statistics,"It provides all the sites that were provided by KDEP.
Note- DATA was emailed by KDEP staffs",Kentucky
all_12_mile_water_risk_TRI,,https://kygeoportal.ky.gov/,URL,https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-data-files-calendar-years-1987-present,FAIR,csv,statistics,It includes the sites and water systems that are within 12 miles of each other.,
gis_distance_matrix,,Kelly Pennell Lab,organization,,FAIR,python,program,Program created to find PFAS sites within a given milage to a water source.,
HISTORIC LANDFILLS MAP- 2019 RAW,,Kentucky Department of Environmental Protection,organization,,FAIR,csv,statistics,"It includes the location of landfill in Kentucky.
Note-DATA was emailed by KDEP staff.",Kentucky
KY_WATER_SYSTEMS,,"Kentucky Department of Environmental Protection,https://kygeoportal.ky.gov/","organization,URL",,FAIR,csv,statistics,It provides the locations of water systems that has PFAS detection.,Kentucky
Model result for regression,,Kelly Pennell Lab,organization,,FAIR,csv,statistics,Results of the statistical model used to determine hot spots.,Kentucky
PFAS DRINKING WATER REPORT FINAL,,Kentucky Department of Environmental Protection,organization,https://eec.ky.gov/Documents%20for%20URLs/PFAS%20Drinking%20Water%20Report%20Final.pdf,FAIR,pdf,other,PFAS drinking water report from KDEP.,
PFA_SITES,,Kentucky Department of Environmental Protection,organization,,FAIR,csv,statistics,It includes all the list of potential PFAS users with indicator scores.,Kentucky
SUPERFUND SITES RAW,,Kentucky Department of Environmental Protection,organization,,FAIR,xlsx,statistics,"It includes the location of superfund sites in Kentucky.
Note- DATA was emailed by KDEP staffs.",Kentucky
TRI_2019_KY RAW,,https://kygeoportal.ky.gov/,URL,https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-data-files-calendar-years-1987-present,FAIR,csv,statistics,It includes TRI data of Kentucky.,Kentucky
TRI_2019_US RAW,,https://kygeoportal.ky.gov/,URL,https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-data-files-calendar-years-1987-present,FAIR,csv,statistics,It includes TRI data of the United States.,United States
https://eec.ky.gov/Documents%20for%20URLs/PFAS%20Drinking%20Water%20Report%20Final.pdf,https://eec.ky.gov/Documents%20for%20URLs/PFAS%20Drinking%20Water%20Report%20Final.pdf,Kentucky Department of Environmental Protection,organization,,FAIR,web,other,Report of PFAS detection in drinking water.,Kentucky
https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-data-files-calendar-years-1987-present,https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-data-files-calendar-years-1987-present,https://kygeoportal.ky.gov/,URL,,FAIR,web,other,TRI data report from the EPA.,
Map 1 Potential hot-spot map,https://uky-edu.maps.arcgis.com/home/item.html?id=b191e64fbdef44a78d6bbf1f68ef4d8e,"Sweta Ojha,Kelly Pennell Lab","author,organization","PFAS_detected_sites,PFAS_sampling_and_purchasing_and_intake_detail,TRI_DATA_IN_KENTUCKY,Risk map with landfill,Ohio_River_Marinas_WFL1 - Ohio River,Ky_Water_Resources_Polygons_DOW_SWAPP_Zone_2,Ky_Water_Resources_Polygons_DOW_SWAPP_Zone_1,Ky_Water_Resources_Polygons_DOW_SWAPP_Zone_3,waterIntake,Surfacewater_sampled_and_detected,gw_sampled_and_detected,groundwater_not_detected,Surface_water_sampled_and_not_detected,WATER_SYSTEMS_IN_KENTUCKY,water_district,Model_says_NO,hot-spot_map,Model_says_yes,Waste WTP outfls,Kentucky County Polygons,Blank White Vector Basemap",Fir,web,map,Map showing PFAS hot-spots for Kentucky.,Kentucky
US map,https://uky-edu.maps.arcgis.com/home/item.html?id=ed727263056e411ca2a7a86587a57f65,"Sweta Ojha,Kelly Pennell Lab","author,organization","TRI_only_A,TRI_CA-HI,TRI__IA-LA,TRI__MA-MT,TRI__NC-OH,TRI__TX-WV,TRI__OK-TN,USA States Generalized1,USA_State_Internal_Boundaries,Blank White Vector Basemap",Fir,web,map,Map showing TRI data for the US.,United States
