__OBJECTID,Name of water systems,Name 2,Longitude,Latitude,Pop Served,Source Type,T/C Type,Total Site,Risk Score *Air Release/Distance^2,Risk Score *Water Release/Distance^2,Risk Score *Underground Release/Distance^2,PFAS Concentration,PFAS Detected,12-Mile Model PFAS Detected,x,y
73,Cypress Spring Resort,CYPRESS SPRINGS RESORT,-88.0955,36.55,200,GW,T,0,0,0,0,,,N,-88.0954999894104,36.5499999661333
74,Dexter Almo Heights Water District,DEXTER ALMO HEIGHTS WATER DISTRICT,-88.3006075,36.6963059,2275,GW,C,5,100231.8565,127.704725,0,,,N,-88.3006074673308,36.6963058746677
75,Dixon Water Department,DIXON WATER DEPARTMENT,-87.69113,37.517693,1253,SW,C,2,2.003663385,0,0,,,N,-87.6911300117971,37.5176929772648
76,Doe Valley Utilitities INC,DOE VALLEY UTILITIES INC,-86.1084,37.9662,2260,GW,C,2,350524.5904,1238851.866,0,,,N,-86.1083999908056,37.9662000268882
77,Domtar Paper Bleached Pulp,DOMTAR PAPER BLEACHED PULP,-86.751996,37.903278,450,GW,T,10,3605262.959,88904.32542,0,,,N,-86.7519959998194,37.9032779699242
78,Domptar Paper Corrugared Me,DOMTAR PAPER CORRUGATED ME,-86.751996,37.903278,100,GW,T,10,3605262.959,88904.32542,0,,,N,-86.7519959998194,37.9032779699242
79,Drakesboro Water Department,DRAKESBORO WATER DEPARTMENT,-87.049367,37.217278,888,SW,C,3,810418.8761,167285.7149,0,,,N,-87.0493670151205,37.2172780231817
80,Dry Ridge Water Works Commission,DRY RIDGE WATER WORKS COMMISSION,-84.593455,38.681708,2400,SW,C,2,119509.4697,0,0,,,N,-84.5934550445232,38.6817080339551
81,East Daviess County Water Association,E DAVIESS CO WATER ASSOC INC,-86.91419,37.775858,11997,GW,C,9,651238.1179,3777.12955,0,,,N,-86.9141899684707,37.7758580327019
82,Earlington Water & Sewer,EARLINGTON WATER & SEWER,-87.51292,37.273957,1708,SW,C,4,1202370.284,5.440313003,0,,,N,-87.5129199799452,37.2739570307173
83,East Casey County Water District,EAST CASEY CO WATER DISTRICT,-84.943319,37.308695,12460,SW,C,0,0,0,0,,,N,-84.9433190236203,37.3086949874472
84,East Clark County Water District,EAST CLARK CO WATER DISTRICT,-84.1740185,37.9938218,7366,SW,C,7,1510854.557,0,0,,,N,-84.1740185229646,37.9938218199807
85,East Laurel Water District,EAST LAUREL WATER DISTRICT,-84.0959616,37.1437189,15857,SW,C,3,6000.104498,0,0,,,N,-84.0959615723077,37.1437189277581
86,East Logan Water District,EAST LOGAN WATER DISTRICT,-86.874913,36.845123,8613,SW,C,5,1020747.171,5466.975533,0,,,N,-86.8749130191346,36.8451229903822
87,East Pendleton Water District,EAST PENDLETON WATER DISTRICT,-84.337164,38.675757,5515,SW,C,2,30567.72909,0,0,,,N,-84.3371639871648,38.6757570335425
88,Eddy Creek Marina Resort LLC,EDDY CREEK MARINA RESORT LLC,-88.016331,37.004908,150,GW,T,3,37294.38816,0.643685014,0,,,N,-88.0163310142633,37.0049079911197
89,Edmonton Water Works,EDMONTON WATER WORKS,-85.610743,36.9790253,8515,SW,C,2,633.3645812,0,0,,,N,-85.6107430252085,36.9790253166846
90,Elkhorn City Water Dept,ELKHORN CITY WATER DEPT,-82.3467409,37.3041144,1723,SW,C,0,0,0,0,,,N,-82.346740940661,37.3041143811962
91,Elkhorn Water District,ELKHORN WATER DISTRICT,-84.730823,38.050931,1590,SW,C,20,53563.82357,0,0,,,N,-84.7308229923195,38.0509310316946
92,Elkton Utilities,ELKTON WATER WORKS,-87.1461013,36.8034908,2780,SW,C,1,1258.576485,0,0,,,N,-87.1461012880072,36.8034907981726
93,Ellis Park Race Course,ELLIS PARK RACE COURSE,-87.561829,37.884793,1500,GW,T,25,239761.0341,691.1756338,0,,,N,-87.5618290250837,37.8847930216551
94,Eminence Water Works,EMINENCE WATER WORKS,-85.182903,38.369569,2554,GW,C,8,12274.5924,12.09281021,0,,,N,-85.1829030336615,38.3695689671238
95,Estill County Water District #1,ESTILL CO WATER DISTRICT,-83.989814,37.699014,9501,SW,C,0,0,0,0,,,N,-83.9898140332218,37.6990140155008
96,Eubank Water System,EUBANK WATER SYSTEM,-84.65856,37.27841,12492,SW,C,0,0,0,0,,,N,-84.6585599955821,37.2784100248279
97,Evarts Municipal Water Plant,EVARTS MUNICIPAL WATER PLANT,-83.152929,36.869484,3059,GW,T,0,0,0,0,,,N,-83.1529289618285,36.8694839973051
98,Farmdale Water District,FARMDALE WATER DISTRICT,-84.926059,38.14076,8203,SW,C,10,23595.12777,0,0,,,N,-84.9260589734143,38.140760015158
99,Flatwoods Water Company,FLATWOODS WATER COMPANY,-82.72461,38.515,9649,SW,C,11,1811296.217,77756.56187,0,,,N,-82.7246099885721,38.5149999719224
100,Fleming County Water Association,FLEMING CO WATER ASSOCIATION,-83.736887,38.41132,9693,SW,C,1,0,0,0,,,N,-83.7368869869395,38.4113200077342
101,Fleming-Neon Water Company,FLEMING-NEON WATER COMPANY,-82.7128,37.19701,3212,SW,C,0,0,0,0,0,N,N,-82.7128000171948,37.1970099802751
102,Florence Water & Sewer Commission,FLORENCE WATER & SEWER,-84.64223,38.9977285,29351,SW,C,53,2783809.308,121215.3598,0,,,N,-84.6422299711897,38.9977284656648
103,Fonde Water System,FONDE WATER SYSTEM,-83.6952073,36.7614654,65,GW,C,0,0,0,0,,,N,-83.695207313713,36.7614654026465
104,Fort Campbell,FORT CAMPBELL,-87.460122,36.657133,18000,SW,C,17,4383580.372,3301.479041,0,,,N,-87.4601220381103,36.6571330201324
105,Fountain Run Water District #1,FOUNTAIN RUN WATER DISTRICT #1,-85.9676371,36.720989,1485,SW,C,0,0,0,0,,,N,-85.9676371298875,36.7209889974414
106,Francis Water Co,FRANCIS WATER COMPANY,-82.833271,37.482846,459,GW,T,0,0,0,0,0,N,N,-82.833271013823,37.4828459754675
107,Fredonia Water Depaertment,FREDONIA WATER DEPARTMENT,-88.059809,37.204948,1040,SW,C,3,28506.45958,0.48153332,0,,,N,-88.059809024857,37.2049480225916
108,City Of Frenchburg,FRENCHBURG WATER COMPANY,-83.627256,37.938541,5401,SW,C,1,0,0,0,,,N,-83.6272559608448,37.9385409875601
109,Fulton Municipal Water System,FULTON MUNICIPAL WATER SYSTEM,-88.874553,36.503624,4662,GW,T,6,16452.94356,72429.4165,0,,,N,-88.8745529601166,36.5036239986021
110,Gallatin County Water District,GALLATIN COUNTY WATER DISTRICT-Plant A,-84.853072,38.728945,5860,GW,T/C,7,797102.0514,1765667.572,0,0,N,N,-84.8530720243894,38.7289450249847
111,Garrard County Water Association,GARRARD CO WATER ASSOC INC,-84.579393,37.627679,14806,SW,C,2,6.206575073,0,0,,,N,-84.5793929967286,37.6276789998164
112,Garrison Water,GARRISON QUINCY HEIGHTS WATER DISTRICT,-83.179169,38.608699,3185,GW,T/C,2,153195.3171,182.498294,0,,,N,-83.1791690207722,38.6086989912718
113,Grand Rivers Water System,GRAND RIVERS WATER SYSTEM,-88.234609,37.001118,3980,SW,C,13,4966509.17,211352.8611,0,,,N,-88.2346089620588,37.0011179771975
114,Graves County Water District-consumers,GRAVES CO WATER DIST - CONSUMERS,-88.633066,36.741841,4689,GW,C,3,2817.425108,271099.0471,0,,,N,-88.6330659589775,36.7418409916509
115,Graves County Water District-Fancy Farm,GRAVES CO WATER DIST - FANCY FARM,-88.633066,36.741841,1301,GW,T,3,2817.425108,271099.0471,0,,,N,-88.6330659589775,36.7418409916509
116,Graves County Water District-Hardeman,GRAVES CO WATER DIST - HARDEMAN,-88.633066,36.741841,1129,GW,C,3,2817.425108,271099.0471,0,,,N,-88.6330659589775,36.7418409916509
117,Graves County Water District-Hickory,GRAVES CO WATER DIST - HICKORY,-88.633066,36.741841,4069,GW,T/C,3,2817.425108,271099.0471,0,0,N,N,-88.6330659589775,36.7418409916509
118,Graves County Water District-Sedalia,GRAVES CO WATER DIST - SEDALIA,-88.633066,36.741841,410,GW,T,3,2817.425108,271099.0471,0,,,N,-88.6330659589775,36.7418409916509
119,Graves County Water District,GRAVES CO WATER DIST - SOUTH GRAVES,-88.633066,36.741841,1844,GW,T,3,2817.425108,271099.0471,0,0,N,N,-88.6330659589775,36.7418409916509
120,Milton-West Carroll water district,GRAYSON UTILITY COMMISSION,-85.17225,38.677573,86,GW,C,9,1027191.446,4304787.933,0,,,N,-85.1722500025387,38.6775729830137
121,Greater fleming Co Wt Comm,GREATER FLEMING CO WT COMM,-83.63899,38.625115,18877,GW,T,7,2538508.346,57145.23576,1398.369996,,,N,-83.6389900245806,38.6251149905158
122,Green Hills Water District,GREEN HILLS WATER DISTRICT,-83.349075,36.864965,1443,SW,C,0,0,0,0,,,N,-83.3490750261377,36.8649650258536
123,Green Taylor Water District,GREEN TAYLOR WATER DISTRICT,-85.493426,37.26867,15263,SW,C,1,0,0,0,,,N,-85.4934260135429,37.2686700091305
124,Guthrie Water Works,GUTHRIE WATER WORKS,-87.1502,36.7149,2421,SW,C,11,41374.38206,0,0,,,N,-87.150200031154,36.7149000082217
125,Hanson Water System,HANSON WATER SYSTEM,-87.481818,37.417431,1414,SW,C,4,807535.429,6.4916773,0,,,N,-87.4818179691893,37.4174310095942
126,Hardin water department,HARDIN WATER DEPARTMENT,-85.9153568,37.6798598,1606,GW,C,9,882215.6643,25.1556358,0,,,N,-85.9153567973193,37.6798597803161
127,Hardinsburg Water Department,HARDINSBURG RO WTP,-86.461016,37.780113,15602,GW,T/C,0,0,0,0,,,N,-86.4610159587756,37.7801129684772
128,Harrison County Water Association,HARRISON CO WATER ASSOC,-84.314475,38.363418,16736,SW,C,8,473078.0377,1.107370466,0,,,N,-84.3144749685392,38.3634179828034
129,Hawesville Water Works,HAWESVILLE WATER WORKS,-86.747904,37.9020749,3225,GW,T,10,3561369.12,101352.2477,0,0,N,N,-86.7479039940372,37.9020748888622
130,Henderson County Water District,HENDERSON COUNTY WATER DISTRICT,-87.6004,37.83197,19008,SW,C,20,399475.387,834.1051409,0,,,N,-87.6003999884379,37.8319700159721
131,Henry County Water District #2,HENRY COUNTY WATER DISTRICT #2,-85.214609,38.524475,17716,GW,T,5,134275.8299,12295.02634,0,,,N,-85.214608981783,38.5244749768144
132,Hickman Water Department,HICKMAN WATER DEPARTMENT,-89.17827,36.57036,3191,GW,T,4,517783.8565,6282.418906,0,,,N,-89.1782700339108,36.5703600187908
133,Hindman Water Department,HINDMAN MUN WATER WORKS,-82.981523,37.337223,1883,GW,T/C,0,0,0,0,,,N,-82.9815230394332,37.3372229789451
134,Horse Cave Water System,HORSE CAVE WATER SYSTEM,-85.885959,37.178414,2744,SW,C,3,6508.257339,118.6191758,0,,,N,-85.8859589804889,37.178413991848
135,Hustonville Water Works,HUSTONVILLE WATER WORKS,-84.749382,37.441818,5420,SW,C,0,0,0,0,,,N,-84.7493820064263,37.4418179662712
136,Irvington Water System,IRVINGTON WATER SYSTEM,-86.2965,37.8762,1627,GW,C,0,0,0,0,,,N,-86.2965000247779,37.8762000247912
137,Island Water Department,ISLAND WATER DEPARTMENT,-87.190034,37.449723,1512,SW,C,7,772962.2611,322.5934084,0,,,N,-87.1900340257977,37.4497229893927
138,City Of Jeffersonville,JEFFERSONVILLE WATER SYSTEM,-83.850319,37.980973,5335,SW,C,6,62566.86256,0,0,,,N,-83.8503189646643,37.9809729682418
139,Jessamine County Water District #1,JESSAMINE CO WATER DISTRICT #1,-84.577225,37.868263,6831,SW,C,5,120760.6158,5886.511937,0,,,N,-84.5772250026219,37.8682629866104
140,Jessamine- South Elkhorn Water District,JESSAMINE S ELKHORN WATER DIST,-84.577225,37.868263,8461,SW,C,5,120760.6158,5886.511937,0,,,N,-84.5772250026219,37.8682629866104
141,Jonathan Creek Water District,JONATHAN CREEK WATER DISTRICT,-88.305502,36.888765,4525,GW,T/C,13,1809935.237,90051.69228,0,,,N,-88.3055020279879,36.888764975596
142,Judy Water Association,JUDY WATER ASSOCIATION,-83.9504143,38.0920579,5539,SW,C,4,167089.4355,0,0,,,N,-83.9504142841865,38.0920578893357
143,Kelly Elementary School,KELLY ELEMENTARY SCHOOL,-84.8270387,38.9832178,355,GW,T,30,624501.1643,13446.36745,0,,,N,-84.8270386677926,38.9832177899551
144,Kentucky American Water,KENTUCKY AMERICAN WATER - EASTERN ROCKCA,-84.4634596,38.0158615,1732,SW,C,14,126915.5721,0,0,,,N,-84.4634595702637,38.0158614771375
145,Kentucky-American Water-Millersburg,KENTUCKY AMERICAN WATER- MILLERSBURG,-84.4634596,38.0158615,1366,SW,C,14,126915.5721,0,0,,,N,-84.4634595702637,38.0158614771375
146,Kentucky Beach Resort,KENTUCKY BEACH RESORT,-88.3032,36.6099,85,GW,T,4,183864.4298,1051.319154,0,,,N,-88.3032000052408,36.6098999773237
147,Kevil Water Department,KEVIL WATER DEPARTMENT,-88.885478,37.084573,1782,GW,T/C,5,195490.3795,5138.522131,0,0,N,N,-88.8854780011074,37.0845730138096
148,Kirksville Water Association,KIRKSVILLE WATER ASSOCIATION,-84.327751,37.777317,5940,SW,C,7,150863.8808,46.91362279,0,,,N,-84.3277509904602,37.7773170090185
149,Lacenter Municipal Water Company,LACENTER MUNICIPAL WATER CO,-88.9736113,37.0761736,1291,GW,T,4,64985.31123,719.8899035,0,,,N,-88.9736112644748,37.0761736001171
150,Lagrange Utilities Commission,LAGRANGE UTILITIES COMMISSION,-85.330426,38.444201,9801,GW,C,5,144557.579,13942.18485,0,,,N,-85.3304259865872,38.4442010338882
151,Lake Village Water Association,LAKE VILLAGE WATER ASSOCIATION,-84.757369,37.7611519,6855,SW,C,9,889759.6224,52852.44704,0,,,N,-84.757369017449,37.7611519207463
152,Lakeview Cottages & Marina,LAKEVIEW COTTAGES & MARINA,-88.080418,36.50239,50,GW,T,0,0,0,0,,,N,-88.0804179944422,36.5023900209495
153,Larue County Water District #1,LARUE COUNTY WATER DISTRICT #1,-85.691529,37.520496,9062,SW,C,0,0,0,0,,,N,-85.6915289678669,37.5204960201475
154,LBL Camp Energy,LBL CAMP ENERGY,-88.02419,36.78561,25,GW,T,0,0,0,0,,,N,-88.0241900153579,36.7856100163604
155,LBL Cravens Bay,LBL CRAVENS BAY,-88.02419,36.78561,25,GW,T,0,0,0,0,,,N,-88.0241900153579,36.7856100163604
156,LBL Fenton Lake Access,LBL FENTON LAKE ACCESS,-88.02419,36.78561,25,GW,T,0,0,0,0,,,N,-88.0241900153579,36.7856100163604
157,"LBL Hillman Ferry A, B and C","LBL HILLMAN FERRY A, B & C",-88.02419,36.78561,42,GW,T,0,0,0,0,,,N,-88.0241900153579,36.7856100163604
158,LBL Maintenance Center,LBL MAINTENANCE CENTER,-88.02419,36.78561,170,GW,T,0,0,0,0,,,N,-88.0241900153579,36.7856100163604
159,LBL North Entrance Station,LBL NORTH ENTRANCE STATION,-88.02419,36.78561,25,GW,T,0,0,0,0,,,N,-88.0241900153579,36.7856100163604
160,LBL Off HWY Vehicle Area,LBL OFF HWY VEHICLE AREA,-88.02419,36.78561,25,GW,T,0,0,0,0,,,N,-88.0241900153579,36.7856100163604
161,LBL Woodland Nature Center,LBL WOODLAND NATURE CENTER,-88.02419,36.78561,25,GW,T,0,0,0,0,,,N,-88.0241900153579,36.7856100163604
